,tmax,tmin
2020/7/6,92.51867988,63.86305962
2020/7/7,92.11916734,65.03321749
2020/7/8,89.10769091,70.73019107
2020/7/9,90.91353625,63.72993007
2020/7/10,90.0826549,70.68300895
2020/7/11,86.46285776,68.74025799
2020/7/12,89.27823606,68.85856123
2020/7/13,92.47391948,67.47239396
2020/7/14,89.64913819,68.95315095
2020/7/15,90.59554456,68.41558175
2020/7/16,89.30423652,71.75270613
2020/7/17,82.15752651,70.45007591
2020/7/18,83.63221062,64.97837045
2020/7/19,83.71152508,68.79206991
2020/7/20,80.48170863,61.50016696
2020/7/21,89.6418272,64.89907151
2020/7/22,90.40789823,70.91913092
2020/7/23,92.74167195,69.34976662
2020/7/24,90.46148621,72.33086676
2020/7/25,88.26032413,66.83406543
2020/7/26,83.13401382,68.0741873
2020/7/27,82.10749194,66.40133172
2020/7/28,85.28715783,61.38639742
2020/7/29,84.17349057,61.93005291
2020/7/30,80.12350079,64.19174531
2020/7/31,80.67899246,59.60744066
